1;5003,1;5003,1;5003,1
2;4999,2;4999;4999
3;5001,1;5001,1;5001,1
4;5000,6;5000,7;5000,7
5;5000,6;5000,6;5000,6
6;4998,7;4998,6;4998,6
7;5003,4;5003,4;5003,4
8;4998,8;4998,7;4998,7
9;4995,2;4995,4;4995,4
10;5003,6;5003,5;5003,6
11;5001,4;5001,4;5001,4
12;5000,4;5000,3;5000,2
13;5001,1;5001,1;5001,1
14;5001,9;5001,9;5001,9
15;5011,9;5011,6;5011,7
16;4995,6;4995,6;4995,6
17;4998,4;4998,9;4998,6
18;4998;4998,1;4998,1
19;4999,8;4999,7;4999,7
20;5011,1;5011;5011
21;5002,5;5002,5;5002,5
22;4995,8;4995,8;4995,8
23;4999;4999;4999
24;5002,6;5002,6;5002,6
25;5004;5003,9;5004
26;4998,9;4998,8;4998,8
27;5003,1;5003,1;5003,1
28;4996,7;4996,6;4996,6
29;5002,4;5002,4;5002,4
30;4998,5;4998,5;4998,5
31;5013,4;5013,3;5013,4
32;5011,2;5011,1;5011,1
33;5005,8;5005,8;5005,8
34;4996,4;4996,3;4996,3
35;5001,5;5001,5;5001,5
36;5002,9;5002,8;5002,9
37;4993,2;4993;4993,2
38;5003,8;5003,8;5003,8
39;5013,8;5013,7;5013,8
40;4998,7;4998,8;4998,5
41;5000,3;5000,2;5000
42;5002;5002,1;5002,1
43;5001,3;5001,3;5001,3
44;5002,6;5002,6;5002,6
45;5000,2;5000,2;5000,3
46;5003;5003;5003
47;4994,3;4994,3;4994,2
48;5003;5003,1;5003
49;4996,2;4996,1;4996,1
50;5003,8;5003,8;5003,8
51;5003,3;5003,3;5003,3
52;5015,8;5015,8;5015,8
53;5018,3;5018,4;5018,2
54;5002,1;5002,1;5002,1
55;4998,8;4998,8;4998,8
56;5008;5007,7;5007,7
57;4996,3;4996,3;4996,3
58;5001,2;5001,2;5001,2
59;5007,7;5007,6;5007,7
60;5005,5;5005,4;5005,4
61;5003,5;5003,3;5003,3
62;5001,3;5001,4;5001,6
63;5003;5003,1;5003,1
64;5004,6;5004,5;5004,5
65;5003,4;5003,6;5003,5
66;5000,8;5000,9;5000,7
67;4999,9;5000;5000
68;5007;5007;5007
69;5001,8;5001,7;5001,8
70;5007,8;5007,8;5007,8
71;4998,3;4998,2;4998,1
72;5000,3;5000,2;5000,2
73;5010,8;5010,7;5010,7
74;5010;5009,6;5009,8
75;4999,9;4999,9;4999,9
76; 5001.5;5001,5;5001,5
77;5001;5001,1;5001
78;4997,5;4997,5;4997,5
79;4998,5;4998,4;4998,4
80;5007,4;5007,6;5007,5
81;4999,5;4999,5;4999,5
82;4996,4;4996,3;4996,3
83;5001,7;5001,6;5001,6
84;5000,4;5000,4;5000,4
85;5003,1;5003,1;5003,1
86;5004;5004;5004
87;5007,4;5007,2;5007,2
88;5001;5001,1;5001
89;5006,5;5006,6;5006,7
90;5005,1;5005,1;5005,2
91;5001,5;5001,5;5001,4
92;5005;5005;5005
93;4997;4997;4996,9
94;5001,2;5001,2;5001,2
95;5008,8;5008,9;5008,9
96;5001,5;5001,5;5001,5
97;5003,2;5003,1;5003,1
98;5005,3;5005,3;5005,3
99;4998,5;4998,3;4998,3
100;5003,9;5004;5004
101;5001;5001;5001
102;5017,1;5017;5017,1
103;4995,7;4995,7;4995,7
104;5003;5003,1;5003,1
105;4994,7;4994,6;4994,6
106;5004,8;5004,8;5004,8
107;5002,5;5002,4;5002,4
108;5015,5;5015,4;5015,5
109;5003,3;5003,3;5003,3
110;4996,6;4996,6;4996,7
111;5000,6;5000,7;5000,7
112;5000,9;5000,9;5000,8
113;5001,3;5001,2;5001,2
114;5003,2;5003,2;5003,2
115;5000,4;5000,5;5000,3
116;5004,6;5004,7;5004,7
117;5004,2;5004,1;5004,1
118;5002,7;5002,7;5002,7
119;5004,1;5004,1;5004,2
120;5003,9;5003,9;5003,8
121;4999,1;4999,1;4999,1
122;5000,1;5000,1;5000,1
123;5000,2;5000,2;5000,1
124;4998,7;4998,7;4998,6
125;4995,6;4995,5;4995,6
126;5004,4;5004,4;5004,4
127;5003,7;5003,9;5003,7
128;5003,5;5003,5;5003,5
129;5006,3;5006,6;5006,4
130;5002,1;5001,9;5002
131;4998,7;4998,6;4998,6
132;5003,8;5003,6;5003,5
133;5002;5001,9;5002
134;4998,7;4998,7;4998,7
135;5000,3;5000,4;5000,3
136;5002,9;5002,9;5003
137;4997,9;4997,9;4997,9
138;4995,7;4995,8;4995,8
139;4996,6;4996,6;4996,6
140;4997,6;4997,7;4997,7
141;5001;5001,1;5001,2
142;5005,9;5005,8;5005,6
143;5004,2;5004,3;5004,2
144;5006,2;5006,2;5006,2
145;5020,3;5020,2;5020,3